"BLUP","Genotype"
2.24106460154363,"u98_201113"
2.23938926444476,"ld16_10351"
2.23440995451231,"k1254"
2.23350514004047,"ln95_1532"
2.23175999527231,"u96_2436"
2.22829837688298,"u11_629113"
2.22663104079252,"ia2065"
2.22559416463945,"hs5_3432"
2.22174166674621,"a94_674038"
2.22046632791093,"kenwood"
2.22003919639142,"sl91_6675"
2.21946231573851,"u16_129612"
2.21858500487364,"hs93_3769"
2.21682655699081,"e87223"
2.21663022980621,"lg06_2219"
2.21643597462748,"ss92_6997"
2.21534658679875,"a97_871054"
2.21411676060354,"a02_236011"
2.21340198816572,"charleston"
2.21318774416902,"ia3048"
2.21081827247466,"hs0_3364"
2.206338757791,"ag2603"
2.20366760149815,"ld10_10213"
2.20265335282125,"sl89_203"
2.20248605964945,"ar10_306021"
2.2008309108058,"e15339"
2.1966118661316,"c1935"
2.1962023391914,"k1164"
2.1960863355176,"ls99_2510"
2.19544973683637,"u97_3123"
2.19534922110162,"ag3334"
2.19523934720649,"e17184"
2.1939143200897,"u96_3306"
2.19291401500199,"cl04_122337"
2.19103052395536,"u92_3604"
2.19060015211416,"ld11_304"
2.18815003091394,"ar11_314011"
2.18175104374146,"hm9197"
2.17845752624251,"hs92_2684"
2.17792325796567,"hc99_1503"
2.17748442503714,"u94_2229"
2.17215446690764,"u98_311442"
2.1718099560952,"ar11_314026"
2.17157175284653,"u11_449088"
2.16829533470314,"u16_605224"
2.16768216450505,"ar10_306029"
2.16213188198534,"lg05_2359"
2.16198299484772,"ln95_1030"
2.16024072755819,"ld12_15753_r2"
2.15890316949385,"u13_228421"
2.15546988127648,"ar11_214034"
2.15421515796155,"u97_202103"
2.14970493671515,"akenwood*2"
2.14671136386119,"ld11_13802r2"
2.14466392705328,"hf93_041"
2.1445346721544,"cl00_15774"
2.14446886203375,"a94_672031"
2.14259189499877,"u16_325193"
2.14151051126451,"e15347"
2.14097115868299,"a95_581028"
2.14036162976152,"lg03_1672"
2.13995711202043,"ln93_9255"
2.1380830039713,"a08_248015"
2.13640056996978,"ar11_214015"
2.13612425554614,"ar06_164010"
2.13446931665238,"hf97_187"
2.13235212484803,"e15390"
2.12989178259167,"a86_301024"
2.12755371572707,"u04_200513"
2.12656915858114,"dsn11_12073"
2.12628218902276,"ia3020"
2.12309823378401,"u00_426026"
2.12292876105129,"u16_326197"
2.12278973163903,"hs8_3463"
2.12163971546749,"dsn11_12119"
2.12046285189819,"sd03_2006r"
2.1202059341472,"cl0j039_63"
2.11967381679023,"ia2052"
2.11775744147489,"lg00_6304"
